ind,Chloris_chloris,Cyanistes_caeruleus,Erithacus_rubecula,Hippolais_polyglotta,Luscinia_megarhynchos,Phoenicurus_phoenicurus,Sylvia_communis,Sylvia_melanocephala,Sylvia_undata,Turdus_merula,Turdus_philomelos,Cyanopica_cooki,Fringilla_coelebs,Parus_major,Saxicola_rubicola,Sylvia_atricapilla,Sylvia_hortensis,Turdus_viscivorus,Ficedula_hypoleuca,Sturnus_unicolor,Sylvia_borin,Columba_palumbus,Pyrrhula_pyrrhula,Lanius_meridionalis,Muscicapa_striata,Sylvia_cantillans,Coccothraustes_coccothraustes
320,1341.337702450349,0,2389.632266838965,0,0,157.99322491177662,49.887218305422735,1230.73959735055,104.06411720295742,319.13890943711544,0,0,18.63230998362668,0,0,179.57069079619333,0,0,0,0,0,0,0,0,0,0,0
321,3817.806145157073,0,1977.0197340187328,0,0,128.1479616695932,68.48049781820109,2926.675923493578,0,383.9937705629012,7.899580402825398,95.40375792602788,0,6.036444963919685,0,1478.6931895232603,0,0,10.438748732731886,0,0,0,0,0,0,0,0
322,215.20205211649986,0,702.8233187326348,0,4.225964195553876,19.928604021273124,17.24279122215865,467.01509890093956,21.149867404989983,45.426136059143175,0,14.082541163682592,7.127018116510493,0,0,109.54190967145843,0,0,0,0,0,0,0,4.270450235478561,0,0,0
323,0,0,1081.332379169021,0,0,160.4073040294802,111.58206060595688,751.7861365159865,96.76088307827762,176.55180533043603,0,0,0,0,155.55892054522548,65.62049709475501,19.36886097957177,0,5.350484620662266,0,0,0,0,7.225996451945935,0,0,0
324,304.53795810073564,0,763.5765531845187,0,0,0,74.88138269008624,472.71154898149535,0,0,0,0,0,0,7.036644489463884,53.98905234085328,12.49512378897538,0,0,0,0,0,0,0,0,1.9348347695888792,0
325,143.44843961595225,0,582.5086623260761,0,0,0,13.493939174135978,322.851832243628,21.034332073675834,33.90798096460017,0,0,6.217089605119872,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47462835450756
326,2475.9797638366276,0,811.6078763447856,0,0,59.09009255640976,0,967.5115031969995,65.18544584347697,129.19958815105048,0,0,10.390095962397023,3.5237514285135716,0,223.0091153040227,116.95482147837353,0,6.80048179559758,0,0,0,0,0,0,0,0
327,429.7121576645694,0,564.0580277181494,0,0,36.75726635852013,0,981.7517460420554,25.11149989255094,493.09555330144804,0,22.283959743821494,7.685470667668369,0,0,133.01106378470666,0,0,4.568480616753624,0,0,0,0,0,0,0,0
329,1783.8198265820733,0,501.958569133584,0,0,0,41.222418680574826,1869.5300325932676,34.97726457799875,100.10385249839234,0,0,0,0,10.907564901529778,85.42920726937464,39.23104799774019,0,0,0,3.5477916612005034,0,0,0,0,4.569232980243989,0
330,757.680152743342,0,366.143665400018,0,0,25.477679553733076,0,1207.970106561926,34.71515022262515,59.6681655496732,0,0,0,0,8.621400110457554,101.66108576428758,0,0,0,0,0,0,0,0,0,2.037918383068903,0
331,789.1621371918133,0,757.0334663249664,0,0,126.49579590617697,27.232705220744318,1020.8072373332797,60.565376156209226,83.77443919377538,0,0,0,0,0,146.50827001164362,0,0,0,0,0,0,0,0,0,0,0
332,2111.5094595835953,0,804.5404184973592,0,0,55.90512369296859,30.639539348489286,1136.2542910149305,35.94067870945466,97.7698035365471,0,0,0,5.268136479049646,0,336.0379142495874,21.699552227863272,0,0,0,0,0,0,7.758706650162943,0,0,0
334,578.204889518711,0,917.0702202553706,0,0,32.06622548307185,38.113359722673714,1838.7359848445349,60.57146149297074,0,0,0,0,15.94955114015678,11.087372744331091,88.80225486149055,0,0,0,0,0,0,0,7.401325913975203,0,0,0
335,0,0,703.9967602777353,0,0,45.14689686462698,34.78570077824337,1205.4853956377783,112.35795418326735,0,0,0,0,0,25.53898935708088,108.18081186110096,0,0,0,0,0,0,0,4.5424406985763195,0,0,0
336,2506.68748159459,0,1577.0618808671793,0,0,136.33428277511015,63.09299610775542,1131.1556452719387,89.28173137013206,191.2466523930753,6.154682144243424,0,0,0,0,369.02800997647637,35.54419821903069,0,0,0,0,0,0,0,2.781925736288203,0,0
337,2810.0159645488134,8.394325779669554,1331.8345664039484,0,22.90538271876203,147.0459358245151,58.92198808756517,3221.2035566586906,113.90861757792965,1214.146101866846,9.643711781044681,558.7424541674893,28.051877356228218,7.719861108731056,29.993617209769816,440.6111276536374,54.55529528349606,0,0,0,0,0,0,13.613594173907192,0,0,0
338,4938.865852215205,0,1332.5781710174776,0,0,132.7530169694407,0,1159.8464920131576,68.21266839573127,233.41157235597768,8.178297105560741,0,33.09684223148564,0,18.75075124217509,220.47418329902968,27.111287972530945,0,0,45.33251124849473,0,0,0,0,0,0,0
339,257.6698273313879,0,493.84193890425786,0,0,26.238683062562053,0,487.4906373602186,16.881614017919517,0,0,0,4.4059138554445,0,4.62811129012052,0,0,0,0,0,0,0,0,0,0,0,0
340,892.6836184559197,0,732.1017714876891,0,0,81.50208723454399,39.54192832056317,1481.7437548049452,0,85.57324115481723,0,35.30709376590536,13.242331797950097,0,16.64881216287757,284.57637036609674,0,0,0,0,0,0,0,0,0,0,0
382,419.184159300892,0,198.6441277104762,0,0,11.346995994954796,0,285.85398204223145,14.57500611782742,0,0,42.964152756962456,0,0,0,29.909859566013623,6.034362664034693,0,0,0,0,0,0,0,0,0,0
383,1746.135413326298,0,787.4704470420696,0,0,0,40.32402730369797,1633.8491462832967,59.78091085163224,76.8935472501635,0,0,0,0,0,108.95439073050954,0,0,0,0,0,0,0,0,0,0,0
